window_id,start_time,end_time,s1_prob_normal,s1_prob_yellow,s1_prob_red,s2_prob_normal,s2_prob_yellow,s2_prob_red
59,295.0,305.0,1.0,4.3381885e-15,1.9607785e-19,1.0,1.8512254e-24,3.767095e-10
60,300.0,310.0,1.0,3.6214865e-22,2.8768145e-28,0.9999995,3.599185e-16,4.5139532e-07
61,305.0,315.0,1.0,9.379347e-15,3.8098896e-16,1.0,4.2300817e-25,3.8946393e-13
62,310.0,320.0,1.0,3.4647472e-11,4.588499e-13,1.0,3.2956881e-31,1.6051941e-13
63,315.0,325.0,1.0,1.575425e-11,1.5428803e-15,1.0,1.5379384e-30,8.057603e-12
64,320.0,330.0,1.0,1.277904e-13,1.9595093e-17,1.0,1.0033679e-27,1.295294e-11
65,325.0,335.0,0.9999993,1.1338624e-09,6.773389e-07,1.0,1.3589044e-30,6.491056e-17
66,330.0,340.0,0.9911986,2.2631457e-07,0.008801151,1.0,2.5682569e-27,1.04212224e-16
67,335.0,345.0,1.0,2.469653e-11,1.1004356e-09,1.0,1.16549615e-26,4.4200381e-16
68,340.0,350.0,1.0,1.6216209e-13,1.0443311e-12,1.0,4.4189535e-26,3.0380086e-15
69,345.0,355.0,0.9999579,1.2932141e-09,4.2077776e-05,1.0,7.5450414e-35,3.1612527e-19
70,350.0,360.0,0.99998796,1.6506384e-09,1.2059089e-05,1.0,5.8497945e-31,4.6334456e-18
71,355.0,365.0,1.0,7.821417e-15,5.790559e-16,1.0,2.7714927e-23,1.3611997e-12
72,360.0,370.0,1.0,1.6484995e-17,1.0816109e-18,1.0,2.4310016e-27,3.8643584e-14
73,365.0,375.0,0.99999964,4.700921e-10,3.865812e-07,1.0,4.7529024e-27,2.7456054e-16
74,370.0,380.0,1.0,8.770772e-15,7.181796e-16,1.0,2.3088265e-21,1.6228376e-12
75,375.0,385.0,1.0,1.0040755e-21,2.3071137e-25,1.0,7.5068295e-20,1.5935062e-11
76,380.0,390.0,1.0,4.5039968e-18,6.7798114e-20,1.0,6.834116e-25,2.3501202e-13
77,385.0,395.0,1.0,2.128804e-18,4.2824845e-21,1.0,3.3761708e-25,1.5222543e-12
78,390.0,400.0,1.0,8.7099704e-27,2.1594157e-35,0.99999905,5.6666934e-17,9.744399e-07
79,395.0,405.0,1.0,1.8677078e-19,2.2668516e-26,0.9999999,3.9733036e-20,6.218197e-08
80,400.0,410.0,1.0,7.984041e-10,4.1711163e-09,1.0,2.653172e-26,2.965462e-14
81,405.0,415.0,1.0,5.9773607e-15,6.8533656e-15,1.0,5.5086966e-25,1.8262852e-14
82,410.0,420.0,1.0,4.75683e-23,9.394601e-30,0.9999999,9.791987e-19,7.9942886e-08
83,415.0,425.0,1.0,4.09334e-18,2.384969e-23,1.0,1.7456565e-19,3.0180594e-08
84,420.0,430.0,1.0,2.944682e-17,1.2406301e-20,1.0,1.3356971e-19,2.3505003e-10
85,425.0,435.0,1.0,6.8503873e-22,8.5724075e-29,1.0,3.903948e-22,6.7276145e-09
86,430.0,440.0,1.0,4.5915946e-22,1.3069809e-29,0.99999976,4.9333105e-18,2.2091383e-07
87,435.0,445.0,1.0,5.5600392e-18,1.0305573e-19,1.0,4.974878e-22,2.6960571e-12
88,440.0,450.0,1.0,4.2457762e-19,8.438528e-24,1.0,2.724961e-20,5.818413e-09
89,445.0,455.0,1.0,2.6193015e-19,3.2533176e-24,1.0,1.9253262e-20,4.8002295e-09
90,450.0,460.0,1.0,3.971442e-19,1.874971e-23,1.0,9.5567446e-24,7.271268e-11
91,455.0,465.0,1.0,1.9574987e-18,8.729542e-24,1.0,1.01713556e-23,1.2016756e-09
92,460.0,470.0,1.0,6.292318e-21,2.9090507e-27,0.9999999,6.3177465e-19,8.912152e-08
93,465.0,475.0,1.0,8.184934e-22,1.2612846e-25,1.0,2.305526e-21,1.3140292e-11
94,470.0,480.0,1.0,9.4345855e-20,6.4583e-26,1.0,2.0424347e-21,7.723686e-09
95,475.0,485.0,1.0,1.5266447e-16,4.702131e-22,1.0,2.693752e-25,8.6770646e-10
96,480.0,490.0,1.0,1.431091e-14,2.865665e-20,1.0,6.065305e-24,1.7051011e-08
97,485.0,495.0,1.0,6.309369e-18,2.8442727e-22,1.0,7.859077e-21,5.981242e-10
98,490.0,500.0,1.0,8.7396226e-20,4.7556508e-23,1.0,1.365743e-23,1.7255488e-12
99,495.0,505.0,1.0,6.829852e-22,1.0435535e-25,1.0,2.0866297e-22,2.2575737e-12
100,500.0,510.0,1.0,3.233467e-12,4.6416707e-11,1.0,1.1696267e-23,7.0819823e-15
101,505.0,515.0,0.99999666,7.343168e-09,3.3099625e-06,1.0,1.1290333e-28,3.043935e-16
102,510.0,520.0,1.0,4.7761366e-17,4.9064852e-21,1.0,3.492553e-23,1.13182935e-10
103,515.0,525.0,1.0,2.5572255e-15,4.599089e-18,1.0,6.042113e-26,2.9118986e-12
104,520.0,530.0,1.0,1.1528054e-19,4.308842e-25,1.0,5.9650058e-18,3.9153477e-08
105,525.0,535.0,1.0,1.4834599e-18,2.6311018e-24,1.0,5.190158e-20,2.9456954e-08
106,530.0,540.0,1.0,6.474805e-14,3.657607e-17,1.0,2.9656715e-25,4.7777365e-11
107,535.0,545.0,0.99999976,6.033846e-10,2.457042e-07,1.0,2.5379323e-32,6.9670445e-18
108,540.0,550.0,1.0,3.5409151e-15,3.0205348e-16,1.0,1.9082607e-27,4.419579e-14
109,545.0,555.0,1.0,3.1904237e-20,6.6461255e-25,1.0,6.6391165e-22,4.451109e-10
110,550.0,560.0,1.0,1.0686341e-19,3.0759874e-24,1.0,7.8493054e-22,1.6038684e-10
111,555.0,565.0,1.0,7.0786806e-13,7.1308665e-13,1.0,1.2241296e-27,8.63687e-15
112,560.0,570.0,1.0,5.4558153e-11,8.3670904e-14,1.0,8.4589e-31,7.696083e-13
113,565.0,575.0,1.0,1.2390895e-18,3.9072363e-24,1.0,2.9175681e-24,4.981109e-10
114,570.0,580.0,1.0,4.526347e-21,8.736129e-26,1.0,3.0148374e-23,2.8789911e-11
115,575.0,585.0,1.0,1.1177016e-23,3.9819933e-30,1.0,2.5088667e-21,2.4772653e-09
116,580.0,590.0,1.0,1.03698154e-26,3.6817353e-35,0.99999714,1.4237128e-16,2.8674708e-06
117,585.0,595.0,1.0,2.6751146e-25,4.7500423e-33,0.9999993,6.2299406e-17,7.12745e-07
118,590.0,600.0,1.0,5.705763e-25,9.1660506e-32,1.0,1.6615404e-20,1.5457303e-09
119,595.0,605.0,1.0,1.9320332e-23,4.6176427e-30,1.0,2.9365433e-21,3.023468e-09
120,600.0,610.0,1.0,1.6587257e-16,7.321474e-20,1.0,1.1811023e-27,2.796028e-12
121,605.0,615.0,1.0,3.6085568e-19,9.999883e-24,1.0,1.326326e-24,4.3219848e-11
122,610.0,620.0,1.0,5.694008e-22,8.0619803e-28,1.0,1.489253e-20,3.3056973e-09
123,615.0,625.0,1.0,8.083335e-32,0.0,0.9998115,1.0684069e-14,0.0001885893
124,620.0,630.0,1.0,1.0689217e-30,0.0,0.99989164,1.746037e-15,0.00010836086
125,625.0,635.0,1.0,1.647895e-18,4.2049836e-25,1.0,1.6246498e-19,5.3571096e-08
126,630.0,640.0,1.0,4.8665758e-21,1.2908293e-27,1.0,1.6782145e-23,1.7859211e-09
127,635.0,645.0,1.0,5.404878e-22,3.6545183e-28,1.0,1.0298311e-25,8.1982136e-11
128,640.0,650.0,1.0,3.1511087e-23,4.756901e-31,1.0,1.0666938e-22,8.605111e-09
129,645.0,655.0,1.0,1.0990105e-22,2.676454e-31,0.99999845,1.9074349e-20,1.5067071e-06
130,650.0,660.0,1.0,6.313356e-21,1.3098015e-28,0.99999964,8.530163e-21,3.5555604e-07
131,655.0,665.0,1.0,1.8252443e-25,2.1958088e-34,0.99999547,2.7497004e-17,4.5211923e-06
132,660.0,670.0,1.0,1.4302945e-21,3.9279693e-29,1.0,4.539261e-22,1.8767027e-08
133,665.0,675.0,1.0,4.626627e-11,9.674353e-14,1.0,1.6814318e-30,1.1479445e-13
134,670.0,680.0,1.0,6.05755e-12,8.045562e-16,1.0,6.609473e-30,1.6908381e-12
135,675.0,685.0,1.0,8.193506e-19,7.3066995e-24,1.0,2.6718831e-24,4.7160525e-11
136,680.0,690.0,1.0,4.0526092e-22,2.2967373e-30,0.9999999,2.3910302e-20,1.065496e-07
137,685.0,695.0,1.0,2.5090848e-15,1.965606e-22,1.0,5.429189e-26,1.542123e-09
138,690.0,700.0,1.0,4.6540097e-19,2.5699118e-28,0.99999833,2.842889e-23,1.6777861e-06
139,695.0,705.0,1.0,2.7583098e-22,2.1188884e-32,0.9999981,1.0000861e-22,1.9441118e-06
140,700.0,710.0,1.0,1.852962e-18,9.478707e-27,1.0,9.4862354e-26,7.113656e-09
141,705.0,715.0,1.0,3.1048443e-18,1.1947577e-24,1.0,1.3432304e-24,4.895996e-10
142,710.0,720.0,1.0,1.6054509e-21,1.6588223e-29,0.9999999,4.289613e-21,6.566722e-08
143,715.0,725.0,1.0,3.9607133e-20,3.2843993e-27,1.0,1.391884e-22,1.3572385e-08
144,720.0,730.0,1.0,1.0079435e-14,6.60963e-21,1.0,2.1686951e-27,4.4162932e-10
145,725.0,735.0,1.0,2.8470742e-14,4.6231853e-19,1.0,1.7359142e-27,2.7603307e-11
146,730.0,740.0,1.0,1.2278745e-14,2.660103e-19,1.0,7.7204045e-27,5.7550752e-11
147,735.0,745.0,1.0,2.38813e-14,8.166234e-19,1.0,1.9548576e-25,6.596176e-11
148,740.0,750.0,1.0,1.161766e-21,1.658956e-28,1.0,7.3926217e-19,7.571451e-09
149,745.0,755.0,1.0,4.718534e-23,4.0109285e-30,1.0,1.31047155e-20,2.0130548e-08
150,750.0,760.0,1.0,1.0631315e-14,7.203186e-19,1.0,9.913465e-26,1.957319e-11
151,755.0,765.0,1.0,1.8531434e-13,4.1156873e-16,1.0,3.2417898e-28,1.3567562e-13
152,760.0,770.0,1.0,5.658693e-14,8.6573695e-19,1.0,2.8824938e-28,2.532273e-11
153,765.0,775.0,1.0,1.4756103e-09,1.1231681e-12,1.0,6.742443e-34,1.8342316e-13
154,770.0,780.0,0.9999987,3.7931017e-07,9.730688e-07,1.0,9.255862e-39,3.502704e-17
155,775.0,785.0,1.0,7.1757984e-16,2.2065818e-19,1.0,1.3398208e-26,1.3879808e-12
156,780.0,790.0,1.0,4.8831513e-26,7.357651e-34,1.0,1.1241398e-18,3.2911537e-08
157,785.0,795.0,1.0,2.231179e-19,7.672439e-25,1.0,7.956157e-26,2.836931e-11
158,790.0,800.0,1.0,1.4215284e-18,4.55815e-25,1.0,7.5182775e-24,4.238645e-09
159,795.0,805.0,1.0,1.2767855e-17,1.9005783e-23,1.0,6.005282e-25,5.5683186e-10
160,800.0,810.0,1.0,1.14365e-13,4.9885546e-17,1.0,5.492319e-29,7.1686824e-13
161,805.0,815.0,1.0,1.8590348e-20,2.278449e-28,1.0,7.828686e-26,6.3464514e-09
162,810.0,820.0,1.0,2.4166566e-23,1.7902554e-32,0.9999999,9.4341335e-24,1.13576135e-07
163,815.0,825.0,1.0,4.752355e-21,3.876846e-31,0.9999988,9.0299614e-24,1.1903306e-06
164,820.0,830.0,1.0,2.8879617e-22,2.5649226e-31,1.0,1.4538307e-24,3.8961648e-08
165,825.0,835.0,1.0,3.4373304e-23,3.9673164e-30,1.0,9.2811114e-23,1.7044467e-09
166,830.0,840.0,1.0,6.183166e-23,1.2068286e-30,1.0,4.1106696e-22,3.1474087e-08
167,835.0,845.0,1.0,1.885726e-20,6.615938e-28,0.9999999,4.695698e-21,9.511377e-08
168,840.0,850.0,1.0,3.2210584e-19,3.4591477e-26,1.0,1.1319175e-22,2.0586166e-08
169,845.0,855.0,1.0,4.2770383e-18,1.1350982e-25,1.0,2.7571008e-29,1.0479377e-10
170,850.0,860.0,1.0,1.9498974e-25,2.0610791e-35,1.0,1.0841859e-23,5.5084502e-08
171,855.0,865.0,1.0,2.9436907e-19,3.7217567e-26,1.0,2.3504669e-23,3.925628e-09
172,860.0,870.0,1.0,2.7405619e-16,2.9005576e-23,1.0,8.357238e-28,2.6002154e-09
173,865.0,875.0,1.0,6.054017e-19,1.2362664e-25,1.0,1.8107482e-27,3.9511736e-10
174,870.0,880.0,1.0,4.8205984e-24,2.1503428e-33,0.99999976,1.321414e-21,2.4896326e-07
175,875.0,885.0,1.0,2.9513657e-22,8.989761e-31,0.99999964,7.801876e-20,3.6683699e-07
176,880.0,890.0,1.0,8.0605614e-14,6.19261e-15,1.0,5.952124e-31,1.3911617e-15
177,885.0,895.0,1.0,9.354418e-20,1.8053702e-25,1.0,3.2821157e-22,1.6476449e-09
178,890.0,900.0,1.0,9.481076e-23,1.901675e-29,1.0,1.7168038e-19,5.9595774e-08
179,895.0,905.0,1.0,2.7113957e-22,1.3245651e-26,1.0,4.345323e-24,1.07561165e-11
180,900.0,910.0,1.0,9.71157e-25,8.070923e-31,1.0,3.6103154e-21,4.0330322e-10
181,905.0,915.0,1.0,1.4474544e-26,1.1877121e-35,0.99999976,2.2196247e-19,2.2635699e-07
182,910.0,920.0,1.0,3.929574e-21,1.5186198e-28,1.0,8.709332e-21,9.874299e-09
183,915.0,925.0,1.0,4.8795514e-21,5.8401043e-28,1.0,4.494533e-21,5.358803e-09
184,920.0,930.0,1.0,3.792848e-25,1.9099672e-32,1.0,2.3247977e-20,4.9317283e-08
185,925.0,935.0,1.0,5.6068376e-24,2.2277125e-31,0.9999999,4.6745395e-20,1.0640379e-07
186,930.0,940.0,1.0,2.6053595e-27,1.4020685e-36,0.9999993,1.0512203e-17,7.044137e-07
187,935.0,945.0,1.0,7.651749e-24,8.880885e-33,0.99999976,2.230471e-20,2.4054364e-07
188,940.0,950.0,1.0,9.299933e-15,1.4249184e-15,1.0,1.0761635e-30,1.3499865e-15
189,945.0,955.0,1.0,9.488187e-19,1.834874e-22,1.0,1.0277174e-22,8.173743e-12
190,950.0,960.0,1.0,3.0700136e-21,8.7310854e-29,0.99999964,4.0179616e-20,3.746827e-07
191,955.0,965.0,1.0,2.2031451e-16,1.00409516e-20,1.0,6.2387573e-28,1.3647593e-11
192,960.0,970.0,1.0,1.8506092e-11,1.8600813e-16,1.0,4.0487318e-29,2.3022025e-11
193,965.0,975.0,1.0,1.5911912e-12,3.741801e-18,1.0,1.5166695e-27,1.14466006e-10
194,970.0,980.0,1.0,3.9257255e-20,9.054532e-24,1.0,6.902676e-27,4.328407e-13
195,975.0,985.0,1.0,1.0801739e-22,1.0393006e-29,1.0,2.0923868e-20,2.8191673e-08
