window_id,start_time,end_time,accel_VectorRMS,accel_PC1_PeakToPeak,accel_VectorCrestFactor,accel_PC1_DominantFreq,accel_PC1_RMSF,accel_PC1_VarianceRatio,accel_PC1_Direction_X,accel_PC1_Direction_Y,accel_PC1_Direction_Z,gyro_VectorRMS,gyro_STD_X,gyro_STD_Y,gyro_STD_Z,pressure_Mean,temperature_Mean
0,0.0,10.0,1.054321518760703,1.0622636118600877,1.2952746638067667,1.5,2.1816725351323787,0.7435705224769841,-0.9981128505189798,-0.0429957494031934,0.04384179697656321,5.432497200046736,0.6954356497609063,2.7300465462196346,3.1380225677171794,1018.4203124999999,24.399999999999995
1,5.0,15.0,1.0533149021289288,1.5053387568253982,1.6226366131992895,0.5,2.299091751809728,0.7586834614379215,-0.9839444769387223,0.07327496252510726,0.1627391967803961,5.222857198104968,0.6260446661568466,2.7895805349953555,2.879237342743666,1018.43140625,24.399999999999995
2,10.0,20.0,1.0853346295253252,1.582463181180587,1.5747653110177895,0.2,2.0197201001420315,0.8871208905945497,-0.9884102300807475,0.13132432221706974,0.07615208116625055,5.1008188110540775,0.3769038382537451,2.747741022099907,2.8181564105199457,1018.433828125,24.399999999999995
3,15.0,25.0,1.07189877688643,1.4291215394971934,1.44582218834977,0.1,2.0944577322589892,0.8894406828149868,-0.9945218401655792,0.0879227827683353,0.05653223597154517,5.020399101587318,0.5728183228167459,2.682552639963687,2.4106719042835194,1018.42328125,24.4203125
4,20.0,30.0,1.0335485872408225,1.2365652193363323,1.297910105684721,1.1,2.816253043953114,0.7675645871127393,-0.9990559083107929,-0.03257427866657289,0.028743841751736082,5.1961412595444925,0.5357166463988979,2.562429896792129,2.7862451674296183,1018.434453125,24.435937499999994
5,25.0,35.0,1.0305803919242544,1.0730949773885834,1.233179160720915,1.9000000000000001,2.5169098550041573,0.7533669484431945,-0.998816478066472,-0.046419715624027975,0.01452078318388041,5.134519250179976,0.4999955679631452,2.5991516534902668,2.4471426884544862,1018.4540625,24.430468749999996
6,30.0,40.0,1.0374346339348326,0.9317826803131344,1.225031651342012,0.30000000000000004,2.360291701263785,0.7188371719295993,-0.9990146386839066,-0.03964180596215081,0.01995692649990386,4.950683938277493,0.4767930234558666,2.215187893849222,2.2280475541555416,1018.4535156249999,24.4578125
7,35.0,45.0,1.0598266459072447,1.5685403610558972,1.5471156512142823,0.30000000000000004,3.012725836229223,0.7280347212937226,-0.9725177545054184,0.1490602930076641,-0.17885817347889818,4.778273613434433,0.429852910530768,2.004114671363423,2.632652276923558,1018.4407812500001,24.4921875
8,40.0,50.0,1.0405321716854794,1.5605363865671946,1.5758036474749753,1.1,3.112266638441216,0.6918801144036478,-0.9792684761403047,0.11113991064198614,-0.16935516496504266,4.780943202869335,0.4708557678303634,2.447195792848326,2.3902512810859005,1018.43921875,24.49921875
9,45.0,55.0,1.008024687003932,0.6082711917507391,1.3310108448125033,0.1,2.5830931591592154,0.6026753155997061,-0.9349624468093415,-0.23712145405052742,-0.2638534424358583,4.774798450188434,0.5242506443859064,2.488937276573829,2.2515460454068896,1018.44453125,24.5
10,50.0,60.0,1.0378804253215421,0.5827514056901891,1.2927228970767977,0.2,2.3377125260720795,0.6653378871111485,-0.8566109894902311,-0.187871802259447,-0.4805432328109039,4.950288586584498,0.5257636981445382,2.3603637652725524,2.584266628907921,1018.44484375,24.5
11,55.0,65.0,1.0415466852609752,1.2932784864455003,1.2960197003014693,0.1,2.2867930786428476,0.7519789432225439,-0.9772086253271468,-0.09503963551816894,-0.18981772906344105,4.928524755568343,0.41071623182671696,2.403633451912278,2.347165512417063,1018.458828125,24.5
12,60.0,70.0,1.026082380609313,1.3000996257407793,1.315552287410232,0.2,2.36667446923718,0.7186042205522374,-0.9875713439458701,-0.0695879686526438,-0.1409267726010421,5.078441632974751,0.7333201048759062,2.4765924778438757,2.415941150396204,1018.4710156250001,24.5
13,65.0,75.0,1.0555429229859035,1.5174612970256542,1.6005577650965268,0.1,2.808351336801071,0.8012384404065144,-0.9775761031495203,0.21057419441757427,-0.001863114700709186,5.321010733866441,0.7382515006766616,2.555017445335955,2.545181718620533,1018.4712499999999,24.5
14,70.0,80.0,1.0706398792748895,1.5095755287069026,1.5779885043344257,0.1,3.031743614416207,0.8079852123989633,-0.9776142946195379,0.2099987695635495,-0.013069343416522683,5.39642834977885,0.49297814382330946,2.5279608093913084,3.008849377220842,1018.4727343750001,24.5
15,75.0,85.0,1.0310390238734903,1.171842403040279,1.4093411099074722,0.7000000000000001,2.515830844876659,0.6598887048006181,-0.9855263717186827,0.12540259182960564,-0.11406998119323927,5.3905713458344335,0.48167583107274964,2.6914593264531304,3.0920535691683826,1018.46875,24.5
16,80.0,90.0,1.0219555382635293,1.1139772702183124,1.4218678091737862,0.4,2.5126271867158674,0.6704914136107465,-0.9659361908472558,0.019284976770303885,-0.2580607774972067,5.624357275509632,0.5421337394946132,2.9421380814154094,2.847032207260263,1018.46875,24.5
17,85.0,95.0,1.0639037224048402,0.6196137720616233,1.2345711387920122,0.6000000000000001,2.1090890598681167,0.6508660263004191,-0.9916682815230259,-0.03060413379119062,-0.12512955852259514,5.583203378046066,0.5131305772287492,2.6837208157180097,2.892393767856367,1018.470078125,24.5
18,90.0,100.0,1.0460549076246548,0.6346969701671858,1.2053112989313222,0.7000000000000001,2.0318713829268624,0.6529175157485386,-0.9995068983935939,0.00189400963289834,0.03134282678905423,5.324657502292402,0.34759536883975134,2.2746087582790464,2.902947598218459,1018.4621093750001,24.5
