window_id,start_time,end_time,accel_VectorRMS,accel_PC1_PeakToPeak,accel_VectorCrestFactor,accel_PC1_DominantFreq,accel_PC1_RMSF,accel_PC1_VarianceRatio,accel_PC1_Direction_X,accel_PC1_Direction_Y,accel_PC1_Direction_Z,gyro_VectorRMS,gyro_STD_X,gyro_STD_Y,gyro_STD_Z,pressure_Mean,temperature_Mean
0,0.0,10.0,0.9955347418677185,0.4596681814679098,1.1855537792526616,0.5,1.9873799729200259,0.5485140533246078,0.05259556534295363,-0.18464302372174074,0.9813972999235059,4.190006910486171,0.3290596810396453,1.8207898657753063,1.726059956930649,1022.51125,24.100000000000005
1,5.0,15.0,1.0107996946647615,0.43760756202861273,1.167649715199051,0.30000000000000004,1.8119590685371032,0.5634458924005853,-0.02960779244149169,-0.22694548763730785,0.9734573047996539,4.544384826964688,0.46718158497966955,1.9894637795531258,1.8178566238943656,1022.5039062499999,24.131249999999998
2,10.0,20.0,1.032993932059562,0.44192068645237376,1.1372258625590406,0.1,2.198336998004819,0.49294123882803426,-0.8603616417450406,-0.33613894422680646,0.38312981558195924,4.489043279257494,0.5725323905957199,1.8548734696458398,1.6388269161649898,1022.5067187499999,24.174999999999997
3,15.0,25.0,1.0179358576228539,0.4553445358295163,1.1864647800888855,0.5,2.425886677351506,0.4254520156175739,0.8941326063450125,0.39218916055732583,-0.21613547744878725,4.380903108583534,0.4619124287781627,2.0134639911820176,1.7639345521739256,1022.5065625,24.193749999999994
4,20.0,30.0,1.011926203035886,0.9399722436846352,1.28837265118361,0.2,2.9508758578937546,0.5455556229323941,-0.9848356074959403,-0.1107746600325932,0.1335207882794504,4.633115803545439,0.40634915520631965,2.389675536220864,1.8659678315838832,1022.500546875,24.199999999999992
5,25.0,35.0,1.0225883789739154,0.9562181133057543,1.2749392344118988,0.2,2.953546243823051,0.6726404390479823,-0.9975523543688557,0.0009602760698106394,0.06991693759757345,4.679554033806267,0.4119936691449607,2.2270996701185353,1.7654488606714145,1022.5023437500001,24.199999999999992
6,30.0,40.0,1.019593597691318,0.7074708336141898,1.2770206330059453,1.0,2.575799005185974,0.5045566721689655,-0.8937032967334799,-0.2520017820863436,-0.37120010672549203,4.288231049574084,0.3670010946763678,1.7011871066710111,1.520730011430499,1022.507578125,24.199999999999992
7,35.0,45.0,1.0091584028442957,0.6752982705070405,1.2902256552220073,1.0,2.463266363798534,0.4990570828519512,0.848996145925677,0.3927425266275172,0.3534951937177942,4.128439863361295,0.34663127374891595,1.798899777993215,1.4327334487034107,1022.506171875,24.199999999999992
8,40.0,50.0,1.0161432200974427,0.48057248316097556,1.3534208502078595,0.1,2.5965926050281074,0.5338899505052859,-0.6771038190554791,0.01925849788030365,0.7356354589604006,4.32921790397274,0.662325379874336,1.9523458671332057,1.3119990265798445,1022.5220312499999,24.199999999999992
9,45.0,55.0,1.0138996672809888,0.5135891856017247,1.3564156940354288,0.1,2.5563541614166176,0.4975653383781632,-0.486754180595954,0.04862698916032504,0.8721844894273016,4.277271574738095,0.6682386815246778,1.877161584935197,1.4694719800113414,1022.5217968750001,24.199999999999992
10,50.0,60.0,1.0069620220774216,0.31660252610381895,1.162704499604693,0.5,2.3723468247316832,0.4629932951047913,0.9191069673330798,0.2813165836569362,-0.2758683786869725,4.211119753987278,0.282117447561738,1.8476110713821106,1.6765450984241883,1022.5208593749999,24.199999999999992
11,55.0,65.0,1.01373661890059,0.3499026433049594,1.154934380559523,0.4,2.392030890871212,0.45263028310670916,0.8210008818479353,0.4227767267905914,-0.3836891857860292,4.368831190939045,0.22387031870928986,1.960570569965244,1.7247146551414079,1022.541953125,24.199999999999992
12,60.0,70.0,1.0157031422246363,0.6802029499166997,1.2524934710940503,0.7000000000000001,2.5532457466007794,0.5284577382735475,-0.9755661755346278,-0.05343032028203015,0.21310992005840512,4.550129058703651,0.24408775373007982,2.077600161852296,1.6876284686450251,1022.54890625,24.19687499999999
13,65.0,75.0,1.0203474324035415,0.6834265494503103,1.2467925275308929,0.5,2.6081256748185804,0.5887407280316782,-0.982687598081473,-0.02195507060610441,0.1839648321053421,4.529832894148111,0.25222071813903263,2.016649874522229,1.44316637301209,1022.5329687499999,24.19687499999999
14,70.0,80.0,1.0084379781917054,0.4169886099134187,1.154896626151359,0.5,2.668672634111061,0.5009985273203058,-0.9819349565297845,-0.10021036197206637,-0.16050428186898227,4.349205533485398,0.3045718725431381,2.032666466425286,1.4693057668399443,1022.521015625,24.19687499999999
15,75.0,85.0,1.02604146286377,1.5282961865317302,1.7018988590606576,1.0,2.4200761627348926,0.8472756554390545,-0.9997888046036054,0.019939096616128547,0.0049778123133260065,4.490072194923485,0.43154811339785293,2.109792258286346,1.6950583501022805,1022.526875,24.195312499999993
16,80.0,90.0,1.036977973111652,1.60272421230356,1.683949746547569,1.0,2.4068192446949013,0.8755260549416777,-0.9996696183380541,-0.005708910921732448,0.025061175310364548,4.459608368079043,0.3994752298907464,2.143691850372396,1.5683824719430972,1022.5383593749999,24.1765625
17,85.0,95.0,1.0151200183429667,0.6079259601292298,1.2591691472279642,1.7000000000000002,2.5706090381328357,0.6007787324235453,-0.9833373603993978,0.02514438277180875,0.18004276063693794,4.293809743015956,0.32924564198036327,2.118171806304857,1.333756914461927,1022.5484375000001,24.128906250000007
18,90.0,100.0,1.0157739444630385,0.4534629482791876,1.2583585302600364,1.0,2.3617859356495745,0.48143714667595483,-0.5732688816355795,0.41445940246639246,0.7068141149237843,4.303140596976091,0.37638805498958494,1.8553643675321523,1.2850179616935322,1022.54171875,24.1171875
